workDone, messagesSent, simulationTime,TotalMenssages
1571, 1321, 492.0, 2892
215, 245, 69.0, 460
35, 97, 20.0, 132
29, 77, 20.0, 106
185, 182, 45.0, 367
65, 117, 25.0, 182
7, 82, 20.0, 89
23, 58, 20.0, 81
