workDone, messagesSent, simulationTime,TotalMenssages
51, 65, 27.0, 116
99, 89, 39.0, 188
55, 67, 29.0, 122
75, 77, 33.0, 152
55, 68, 28.0, 123
71, 74, 32.0, 145
18, 61, 21.0, 79
87, 83, 36.0, 170
105, 138, 57.0, 243
19, 63, 18.0, 82
107, 145, 45.0, 252
82, 129, 40.0, 211
512, 741, 208.0, 1253
925, 1412, 385.0, 2337
434, 626, 195.0, 1060
